Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,rdkit_smiles,inchi_key,compound_id,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
1-Chloroheptane,-3.003,1,134.65,0,0,5,0.0,-4.0,CCCCCCCCl,CCCCCCCCl,DZMDPHNGKBEVRE-UHFFFAOYSA-N,DZMDPHNGKBEVRE-UHFFFAOYSA-N,-4.0,,-0.0,0
Barbital,-1.265,1,184.195,2,1,2,75.27000000000001,-2.4,O=C1NC(=O)NC(=O)C1(CC)CC,CCC1(CC)C(=O)NC(=O)NC1=O,FTOAOBMCPZCFFF-UHFFFAOYSA-N,FTOAOBMCPZCFFF-UHFFFAOYSA-N,-2.4,,-0.0,0
Bibenzyl ,-4.301,2,182.266,0,2,3,0.0,-4.62,C(Cc1ccccc1)c2ccccc2,c1ccc(CCc2ccccc2)cc1,QWUWMCYKGHVNAV-UHFFFAOYSA-N,QWUWMCYKGHVNAV-UHFFFAOYSA-N,-4.62,,-0.0,0
"1,1,2,2-Tetrachloroethane",-2.549,1,167.85,0,0,1,0.0,-1.74,ClC(Cl)C(Cl)Cl,ClC(Cl)C(Cl)Cl,QPFMBZIOSGYJDE-UHFFFAOYSA-N,QPFMBZIOSGYJDE-UHFFFAOYSA-N,-1.74,,-0.0,0
RTI 23,-4.228,1,283.331,1,3,2,54.46,-5.153,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,PVVKNINYCJVIFZ-UHFFFAOYSA-N,PVVKNINYCJVIFZ-UHFFFAOYSA-N,-5.153,,-0.0,0
2-Methylphenanthrene,-4.87,1,192.261,0,3,0,0.0,-5.84,Cc1ccc2c(ccc3ccccc32)c1,Cc1ccc2c(ccc3ccccc32)c1,KANLOADZXMMCQA-UHFFFAOYSA-N,KANLOADZXMMCQA-UHFFFAOYSA-N,-5.84,,-0.0,0
dibutylphthalate,-4.378,1,278.348,0,1,8,52.60000000000001,-4.4,CCCCOC(=O)c1ccccc1C(=O)OCCCC ,CCCCOC(=O)c1ccccc1C(=O)OCCCC,DOIRQSBPFJWKBE-UHFFFAOYSA-N,DOIRQSBPFJWKBE-UHFFFAOYSA-N,-4.4,,-0.0,0
tetrachloroguaiacol,-4.299,1,261.919,1,1,1,29.46,-4.02,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,YZZVKLJKDFFSFL-UHFFFAOYSA-N,YZZVKLJKDFFSFL-UHFFFAOYSA-N,-4.02,,-0.0,0
Dimecron,-2.426,1,299.6909999999999,0,0,8,65.07000000000001,0.523,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,RWXKUYSKUSXRGL-UHFFFAOYSA-N,RWXKUYSKUSXRGL-UHFFFAOYSA-N,0.523,,0.0,0
Equilin,-3.555,1,268.356,1,4,0,37.3,-5.282,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,WKRLQDKEXYKHJB-UHFFFAOYSA-N,WKRLQDKEXYKHJB-UHFFFAOYSA-N,-5.282,,-0.0,0
Chlorimuron-ethyl (ph 7),-3.719,1,414.82700000000017,1,2,8,127.79,-4.5760000000000005,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,MBDMKWJEKDHRRP-UHFFFAOYSA-N,MBDMKWJEKDHRRP-UHFFFAOYSA-N,-4.5760000000000005,,-0.0,0
p-Nitroanisole,-2.522,1,153.13699999999997,0,1,2,52.37,-2.41,COc1ccc(cc1)N(=O)=O,COc1ccc([N+](=O)[O-])cc1,BNUHAJGCKIQFGE-UHFFFAOYSA-N,BNUHAJGCKIQFGE-UHFFFAOYSA-N,-2.41,,-0.0,0
1-Chlorohexane,-2.648,1,120.623,0,0,4,0.0,-3.12,CCCCCCCl,CCCCCCCl,MLRVZFYXUZQSRU-UHFFFAOYSA-N,MLRVZFYXUZQSRU-UHFFFAOYSA-N,-3.12,,-0.0,0
"2,2',3,3',4,4',5,5'-PCB",-8.468,1,429.77200000000016,0,2,1,0.0,-9.16,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,DTMRKGRREZAYAP-UHFFFAOYSA-N,DTMRKGRREZAYAP-UHFFFAOYSA-N,-9.16,,-0.0,0
Raffinose,0.496,1,504.4380000000001,11,3,8,268.67999999999995,-0.41,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,MUPFEKGTMRGPLJ-UHFFFAOYSA-N,MUPFEKGTMRGPLJ-UHFFFAOYSA-N,-0.41,,-0.0,0
hexacosane,-9.702,1,366.7180000000002,0,0,23,0.0,-8.334,CCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCC,HMSWAIKSFDFLKN-UHFFFAOYSA-N,HMSWAIKSFDFLKN-UHFFFAOYSA-N,-8.334,,-0.0,0
RTI 5,-3.471,1,253.30499999999995,0,3,1,36.44,-3.324,CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,CCN1c2ccccc2N(C)C(=O)c2cccnc21,QIBWCUCLHZVYNL-UHFFFAOYSA-N,QIBWCUCLHZVYNL-UHFFFAOYSA-N,-3.324,,-0.0,0
"1,1-Dichloroethane",-1.5759999999999998,1,98.96,0,0,0,0.0,-1.29,CC(Cl)Cl,CC(Cl)Cl,SCYULBFZEHDVBN-UHFFFAOYSA-N,SCYULBFZEHDVBN-UHFFFAOYSA-N,-1.29,,-0.0,0
Sulfanilamide,-0.954,1,172.20899999999995,2,1,1,86.18,-1.34,Nc1ccc(cc1)S(N)(=O)=O,Nc1ccc(S(N)(=O)=O)cc1,FDDDEECHVMSUSB-UHFFFAOYSA-N,FDDDEECHVMSUSB-UHFFFAOYSA-N,-1.34,,-0.0,0
Isopropalin,-5.306,1,309.36600000000004,0,1,8,89.51999999999998,-6.49,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],NEKOXWSIMFDGMA-UHFFFAOYSA-N,NEKOXWSIMFDGMA-UHFFFAOYSA-N,-6.49,,-0.0,0
Lindane,-4.009,1,290.832,0,1,0,0.0,-4.64,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,-4.64,,-0.0,0
Isofenphos,-4.538,1,345.4010000000002,1,1,8,56.790000000000006,-4.194,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,HOQADATXFBOEGG-UHFFFAOYSA-N,HOQADATXFBOEGG-UHFFFAOYSA-N,-4.194,,-0.0,0
"1,2,3-Trichlorobenzene",-4.008,1,181.449,0,1,0,0.0,-4.0,Clc1cccc(Cl)c1Cl,Clc1cccc(Cl)c1Cl,RELMFMZEBKVZJC-UHFFFAOYSA-N,RELMFMZEBKVZJC-UHFFFAOYSA-N,-4.0,,-0.0,0
Tetrachloromethane,-2.607,1,153.823,0,0,0,0.0,-2.31,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,VZGDMQKNWNREIO-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,-2.31,,-0.0,0
"3,4-Dichloronitrobenzene",-3.448,1,192.001,0,1,1,43.14,-3.2,O=N(=O)c1cc(Cl)c(Cl)cc1,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,NTBYINQTYWZXLH-UHFFFAOYSA-N,NTBYINQTYWZXLH-UHFFFAOYSA-N,-3.2,,-0.0,0
Cyclooctanol,-2.14,1,128.215,1,1,0,20.23,-1.29,OC1CCCCCCC1,OC1CCCCCCC1,FHADSMKORVFYOS-UHFFFAOYSA-N,FHADSMKORVFYOS-UHFFFAOYSA-N,-1.29,,-0.0,0
17a-Methyltestosterone,-4.073,1,302.4580000000001,1,4,0,37.3,-3.999,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,GCKMFJBGXUYNAG-UHFFFAOYSA-N,GCKMFJBGXUYNAG-UHFFFAOYSA-N,-3.999,,-0.0,0
Dulcin,-2.167,1,180.207,2,1,3,64.35,-2.17,CCOc1ccc(NC(N)=O)cc1,CCOc1ccc(NC(N)=O)cc1,GGLIEWRLXDLBBF-UHFFFAOYSA-N,GGLIEWRLXDLBBF-UHFFFAOYSA-N,-2.17,,-0.0,0
"trans-1,4-Dimethylcyclohexane",-3.305,1,112.216,0,1,0,0.0,-4.47,C/C1CCC(\C)CC1,CC1CCC(C)CC1,QRMPKOFEUHIBNM-UHFFFAOYSA-N,QRMPKOFEUHIBNM-UHFFFAOYSA-N,-4.47,,-0.0,0
"1,7-phenantroline",-2.994,2,180.21,0,3,0,25.78,-2.68,c1cnc2c(c1)ccc3ncccc23,c1cnc2c(c1)ccc1ncccc12,OZKOMUDCMCEDTM-UHFFFAOYSA-N,OZKOMUDCMCEDTM-UHFFFAOYSA-N,-2.68,,-0.0,0
Methyl t-butyl ether ,-0.984,1,88.14999999999999,0,0,0,9.23,-0.24,COC(C)(C)C,COC(C)(C)C,BZLVMXJERCGZMT-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,-0.24,,-0.0,0
Anethole,-3.254,1,148.20499999999998,0,1,2,9.23,-3.13,COc1ccc(C=CC)cc1,CC=Cc1ccc(OC)cc1,RUVINXPYWBROJD-UHFFFAOYSA-N,RUVINXPYWBROJD-UHFFFAOYSA-N,-3.13,,-0.0,0
1-Hexadecanol,-4.94,1,242.44699999999992,1,0,14,20.23,-7.0,CCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCO,BXWNKGSJHAJOGX-UHFFFAOYSA-N,BXWNKGSJHAJOGX-UHFFFAOYSA-N,-7.0,,-0.0,0
uracil,-0.441,1,112.088,2,1,0,65.72,-1.4880000000000002,O=c1cc[nH]c(=O)[nH]1 ,O=c1cc[nH]c(=O)[nH]1,ISAKRJDGNUQOIC-UHFFFAOYSA-N,ISAKRJDGNUQOIC-UHFFFAOYSA-N,-1.4880000000000002,,-0.0,0
adenine,-1.255,1,135.13,2,2,0,80.47999999999999,-2.12,Nc1ncnc2nc[nH]c12 ,Nc1ncnc2nc[nH]c12,GFFGJBXGBJISGV-UHFFFAOYSA-N,GFFGJBXGBJISGV-UHFFFAOYSA-N,-2.12,,-0.0,0
"2,2',3,4,5-PCB",-6.709,1,326.437,0,2,1,0.0,-7.21,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,JTUSORDQZVOEAZ-UHFFFAOYSA-N,JTUSORDQZVOEAZ-UHFFFAOYSA-N,-7.21,,-0.0,0
Ancymidol,-2.181,1,256.30499999999995,1,3,4,55.24,-2.596,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,HUTDUHSNJYTCAR-UHFFFAOYSA-N,HUTDUHSNJYTCAR-UHFFFAOYSA-N,-2.596,,-0.0,0
Benzo(b)fluoranthene,-6.007000000000001,2,252.316,0,5,0,0.0,-8.23,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,FTOVXSOBNPWTSH-UHFFFAOYSA-N,FTOVXSOBNPWTSH-UHFFFAOYSA-N,-8.23,,-0.0,0
Carbanilide,-3.611,1,212.252,2,2,2,41.13,-3.15,O=C(Nc1ccccc1)Nc2ccccc2,O=C(Nc1ccccc1)Nc1ccccc1,GWEHVDNNLFDJLR-UHFFFAOYSA-N,GWEHVDNNLFDJLR-UHFFFAOYSA-N,-3.15,,-0.0,0
phenobarbital,-2.272,1,232.239,2,2,2,75.27000000000001,-2.322,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,DDBREPKUVSBGFI-UHFFFAOYSA-N,DDBREPKUVSBGFI-UHFFFAOYSA-N,-2.322,0.0,-0.0,0
"2',3,4-PCB",-5.686,1,257.547,0,2,1,0.0,-6.29,Clc1ccc(cc1)c2cccc(Cl)c2Cl ,Clc1ccc(-c2cccc(Cl)c2Cl)cc1,ZMHWQAHZKUPENF-UHFFFAOYSA-N,ZMHWQAHZKUPENF-UHFFFAOYSA-N,-6.29,,-0.0,0
Isoproturon,-2.867,1,206.289,1,1,2,32.34,-3.536,CC(C)c1ccc(NC(=O)N(C)C)cc1,CC(C)c1ccc(NC(=O)N(C)C)cc1,PUIYMUZLKQOUOZ-UHFFFAOYSA-N,PUIYMUZLKQOUOZ-UHFFFAOYSA-N,-3.536,,-0.0,0
Azintamide,-2.231,1,259.762,0,1,5,46.09,-1.716,CCN(CC)C(=O)CSc1ccc(Cl)nn1,CCN(CC)C(=O)CSc1ccc(Cl)nn1,SSLKKMZJCJBOML-UHFFFAOYSA-N,SSLKKMZJCJBOML-UHFFFAOYSA-N,-1.716,,-0.0,0
"2,2-Dimethyl-1-butanol",-1.365,1,102.17699999999998,1,0,2,20.23,-1.04,CCC(C)(C)CO,CCC(C)(C)CO,XRMVWAKMXZNZIL-UHFFFAOYSA-N,XRMVWAKMXZNZIL-UHFFFAOYSA-N,-1.04,,-0.0,0
Ethyl pentanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-1.75,CCCOC(=O)CCC,CCCOC(=O)CCC,HUAZGNHGCJGYNP-UHFFFAOYSA-N,HUAZGNHGCJGYNP-UHFFFAOYSA-N,-1.75,,-0.0,0
"2,4,6-Trinitrotoluene",-2.6060000000000003,1,227.132,0,1,3,129.42000000000002,-3.22,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],SPSSULHKWOKEEL-UHFFFAOYSA-N,SPSSULHKWOKEEL-UHFFFAOYSA-N,-3.22,,-0.0,0
Bensulide,-4.99,1,397.52400000000006,1,1,10,64.63,-4.2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,RRNIZKPFKNDSRS-UHFFFAOYSA-N,RRNIZKPFKNDSRS-UHFFFAOYSA-N,-4.2,,-0.0,0
Cycloheptane,-2.9160000000000004,2,98.189,0,1,0,0.0,-3.51,C1CCCCCC1,C1CCCCCC1,DMEGYFMYUHOHGS-UHFFFAOYSA-N,DMEGYFMYUHOHGS-UHFFFAOYSA-N,-3.51,,-0.0,0
Propyl formate,-0.757,1,88.10599999999998,0,0,3,26.3,-0.49,CCCOC=O,CCCOC=O,KFNNIILCVOLYIR-UHFFFAOYSA-N,KFNNIILCVOLYIR-UHFFFAOYSA-N,-0.49,,-0.0,0
2-Isopropyltoluene,-3.585,1,134.22199999999995,0,1,1,0.0,-3.76,CC(C)c1ccccc1C,Cc1ccccc1C(C)C,WWRCMNKATXZARA-UHFFFAOYSA-N,WWRCMNKATXZARA-UHFFFAOYSA-N,-3.76,,-0.0,0
m-Chloroaniline,-2.392,1,127.574,1,1,0,26.02,-1.37,Nc1cccc(Cl)c1,Nc1cccc(Cl)c1,PNPCRKVUWYDDST-UHFFFAOYSA-N,PNPCRKVUWYDDST-UHFFFAOYSA-N,-1.37,,-0.0,0
"2,4-Dimethylpentane",-2.938,1,100.20499999999998,0,0,2,0.0,-4.26,CC(C)CC(C)C,CC(C)CC(C)C,BZHMBWZPUJHVEE-UHFFFAOYSA-N,BZHMBWZPUJHVEE-UHFFFAOYSA-N,-4.26,,-0.0,0
Dibenzofurane,-4.2010000000000005,2,168.195,0,3,0,13.14,-4.6,o1c2ccccc2c3ccccc13,c1ccc2c(c1)oc1ccccc12,TXCDCPKCNAJMEE-UHFFFAOYSA-N,TXCDCPKCNAJMEE-UHFFFAOYSA-N,-4.6,,-0.0,0
ethofumesate,-3.184,1,286.34900000000005,0,2,4,61.830000000000005,-3.42,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,IRCMYGHHKLLGHV-UHFFFAOYSA-N,IRCMYGHHKLLGHV-UHFFFAOYSA-N,-3.42,,-0.0,0
Fluometuron,-3.065,1,232.205,1,1,1,32.34,-3.43,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,RZILCCPWPBTYDO-UHFFFAOYSA-N,RZILCCPWPBTYDO-UHFFFAOYSA-N,-3.43,,-0.0,0
Acridine,-3.846,2,179.22199999999998,0,3,0,12.89,-3.67,c3ccc2nc1ccccc1cc2c3,c1ccc2nc3ccccc3cc2c1,DZBUGLKDJFMEHC-UHFFFAOYSA-N,DZBUGLKDJFMEHC-UHFFFAOYSA-N,-3.67,,-0.0,0
Cortisone,-2.893,1,360.45000000000016,2,4,2,91.67,-3.11,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,MFYSYFVPBJMHGN-UHFFFAOYSA-N,MFYSYFVPBJMHGN-UHFFFAOYSA-N,-3.11,,-0.0,0
glucose,0.501,1,180.156,5,1,1,110.38,0.74,OCC1OC(O)C(O)C(O)C1O,OCC1OC(O)C(O)C(O)C1O,WQZGKKKJIJFFOK-UHFFFAOYSA-N,WQZGKKKJIJFFOK-UHFFFAOYSA-N,0.74,,0.0,0
3-Methylphenol,-2.313,1,108.14,1,1,0,20.23,-0.68,Cc1cccc(O)c1,Cc1cccc(O)c1,RLSSMJSEOOYNOY-UHFFFAOYSA-N,RLSSMJSEOOYNOY-UHFFFAOYSA-N,-0.68,,-0.0,0
Indapamide,-4.345,1,365.842,2,3,3,92.5,-3.5860000000000003,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,NDDAHWYSQHTHNT-UHFFFAOYSA-N,NDDAHWYSQHTHNT-UHFFFAOYSA-N,-3.5860000000000003,,-0.0,0
Lovastatin,-4.731,1,404.54700000000025,1,3,6,72.83,-6.005,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,PCZOHLXUXFIOCF-UHFFFAOYSA-N,PCZOHLXUXFIOCF-UHFFFAOYSA-N,-6.005,,-0.0,0
"1,4-Dinitrobenzene",-2.281,1,168.10799999999995,0,1,2,86.28,-3.39,O=N(=O)c1ccc(cc1)N(=O)=O,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,FYFDQJRXFWGIBS-UHFFFAOYSA-N,FYFDQJRXFWGIBS-UHFFFAOYSA-N,-3.39,,-0.0,0
Reposal,-2.781,1,262.309,2,3,2,75.27000000000001,-2.696,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,YGOGAACPYALXRT-UHFFFAOYSA-N,YGOGAACPYALXRT-UHFFFAOYSA-N,-2.696,,-0.0,0
Ethyl decanoate,-3.671,1,200.322,0,0,9,26.3,-4.1,CCCCCCCCCC(=O)OCC,CCCCCCCCCC(=O)OCC,RGXWDWUGBIJHDO-UHFFFAOYSA-N,RGXWDWUGBIJHDO-UHFFFAOYSA-N,-4.1,,-0.0,0
Fenuron,-1.847,1,164.208,1,1,1,32.34,-1.6,CN(C)C(=O)Nc1ccccc1,CN(C)C(=O)Nc1ccccc1,XXOYNJXVWVNOOJ-UHFFFAOYSA-N,XXOYNJXVWVNOOJ-UHFFFAOYSA-N,-1.6,,-0.0,0
Ethyl propyl ether,-1.072,1,88.14999999999999,0,0,3,9.23,-0.66,CCCOCC,CCCOCC,NVJUHMXYKCUMQA-UHFFFAOYSA-N,NVJUHMXYKCUMQA-UHFFFAOYSA-N,-0.66,,-0.0,0
2-Propanol,-0.261,1,60.096,1,0,0,20.23,0.43,CC(C)O,CC(C)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,0.43,,0.0,0
2-Methylnapthalene,-3.802,1,142.201,0,2,0,0.0,-3.77,Cc1ccc2ccccc2c1,Cc1ccc2ccccc2c1,QIMMUPPBPVKWKM-UHFFFAOYSA-N,QIMMUPPBPVKWKM-UHFFFAOYSA-N,-3.77,,-0.0,0
Chlorodibromethane,-2.54,1,208.28,0,0,0,0.0,-1.9,ClC(Br)Br,ClC(Br)Br,GATVIKZLVQHOMN-UHFFFAOYSA-N,GATVIKZLVQHOMN-UHFFFAOYSA-N,-1.9,,-0.0,0
Hexestrol,-4.854,1,270.372,2,2,5,40.46,-4.43,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,PBBGSZCBWVPOOL-UHFFFAOYSA-N,PBBGSZCBWVPOOL-UHFFFAOYSA-N,-4.43,,-0.0,0
Malathion,-3.391,1,330.3640000000001,0,0,9,71.06,-3.37,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,JXSJBGJIGXNWCI-UHFFFAOYSA-N,JXSJBGJIGXNWCI-UHFFFAOYSA-N,-3.37,,-0.0,0
Benzylchloride,-2.887,1,126.58599999999996,0,1,1,0.0,-2.39,ClCc1ccccc1,ClCc1ccccc1,KCXMKQUNVWSEMD-UHFFFAOYSA-N,KCXMKQUNVWSEMD-UHFFFAOYSA-N,-2.39,,-0.0,0
t-Crotonaldehyde,-0.604,1,70.09100000000001,0,0,1,17.07,0.32,C/C=C/C=O,C/C=C/C=O,MLUCVPSAIODCQM-NSCUHMNNSA-N,MLUCVPSAIODCQM-NSCUHMNNSA-N,0.32,,0.0,0
Chlorbromuron,-3.938,1,293.548,1,1,2,41.57,-3.924,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,NLYNUTMZTCLNOO-UHFFFAOYSA-N,NLYNUTMZTCLNOO-UHFFFAOYSA-N,-3.924,,-0.0,0
"9,10-Dimethylanthracene",-5.228,1,206.288,0,3,0,0.0,-6.57,Cc1c2ccccc2c(C)c3ccccc13,Cc1c2ccccc2c(C)c2ccccc12,JTGMTYWYUZDRBK-UHFFFAOYSA-N,JTGMTYWYUZDRBK-UHFFFAOYSA-N,-6.57,,-0.0,0
Methyl hexanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-1.87,CCCCCC(=O)OC,CCCCCC(=O)OC,NUKZAGXMHTUAFE-UHFFFAOYSA-N,NUKZAGXMHTUAFE-UHFFFAOYSA-N,-1.87,,-0.0,0
Dimefuron,-3.831,1,338.79500000000013,1,2,2,80.37,-4.328,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,DHWRNDJOGMTCPB-UHFFFAOYSA-N,DHWRNDJOGMTCPB-UHFFFAOYSA-N,-4.328,,-0.0,0
p-Fluoroacetanilide,-2.181,1,153.156,1,1,1,29.1,-1.78,CC(=O)Nc1ccc(F)cc1,CC(=O)Nc1ccc(F)cc1,JHEFOJNPLXSWNZ-UHFFFAOYSA-N,JHEFOJNPLXSWNZ-UHFFFAOYSA-N,-1.78,,-0.0,0
alachlor,-3.319,1,269.77199999999993,0,1,6,29.54,-3.26,CCc1cccc(CC)c1N(COC)C(=O)CCl ,CCc1cccc(CC)c1N(COC)C(=O)CCl,XCSGPAVHZFQHGE-UHFFFAOYSA-N,XCSGPAVHZFQHGE-UHFFFAOYSA-N,-3.26,,-0.0,0
Cyclohexene,-2.16,2,82.146,0,1,0,0.0,-2.59,C1CCC=CC1,C1=CCCCC1,HGCIXCUEYOPUTN-UHFFFAOYSA-N,HGCIXCUEYOPUTN-UHFFFAOYSA-N,-2.59,,-0.0,0
Hydrocortisone ,-3.159,1,362.4660000000002,3,4,2,94.83,-3.09,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,JYGXADMDTFJGBT-UHFFFAOYSA-N,JYGXADMDTFJGBT-UHFFFAOYSA-N,-3.09,,-0.0,0
Pyrimidine,-0.884,2,80.08999999999999,0,1,0,25.78,1.1,c1cncnc1,c1cncnc1,CZPWVGJYEJSRLH-UHFFFAOYSA-N,CZPWVGJYEJSRLH-UHFFFAOYSA-N,1.1,,0.0,0
p-Chloronitrobenzene,-2.901,1,157.55599999999998,0,1,1,43.14,-2.92,Clc1ccc(cc1)N(=O)=O,O=[N+]([O-])c1ccc(Cl)cc1,CZGCEKJOLUNIFY-UHFFFAOYSA-N,CZGCEKJOLUNIFY-UHFFFAOYSA-N,-2.92,,-0.0,0
Methyl propionate,-0.836,1,88.106,0,0,1,26.3,-0.14,CCC(=O)OC,CCC(=O)OC,RJUFJBKOKNCXHH-UHFFFAOYSA-N,RJUFJBKOKNCXHH-UHFFFAOYSA-N,-0.14,,-0.0,0
o-Chloronitrobenzene,-2.775,1,157.55599999999998,0,1,1,43.14,-2.55,Clc1ccccc1N(=O)=O,O=[N+]([O-])c1ccccc1Cl,BFCFYVKQTRLZHA-UHFFFAOYSA-N,BFCFYVKQTRLZHA-UHFFFAOYSA-N,-2.55,,-0.0,0
Neburon,-4.157,1,275.179,1,1,4,32.34,-4.77,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,CCGPUGMWYLICGL-UHFFFAOYSA-N,CCGPUGMWYLICGL-UHFFFAOYSA-N,-4.77,,-0.0,0
Buthidazole,-2.398,1,256.331,1,2,1,69.56,-1.877,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,SWMGXKSQWDSBKV-UHFFFAOYSA-N,SWMGXKSQWDSBKV-UHFFFAOYSA-N,-1.877,,-0.0,0
Nitrobenzene,-2.2880000000000003,1,123.11099999999996,0,1,1,43.14,-1.8,O=N(=O)c1ccccc1,O=[N+]([O-])c1ccccc1,LQNUZADURLCDLV-UHFFFAOYSA-N,LQNUZADURLCDLV-UHFFFAOYSA-N,-1.8,,-0.0,0
